,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
430,잠실,1460,270861,1238068,3026245,5604406,4414903,3129601,3202762,3330091,3539445,3674690,4179422,4733814,5926799,7510544,4889708,4072898,3746270,2877149,1185122,204006,3530,234,0,70762028,잠실(송파구청)잠실(송파구청),서울특별시
257,서울역,14832,361125,1460900,3517115,6341909,4543817,3055588,3135384,3540067,3541681,3015205,3723378,4132091,5576445,6803545,3962194,2790525,2790323,1945913,963137,139692,5764,92,0,65360722,서울역서울역,서울특별시
517,홍대입구,16395,481539,761042,1589091,2987508,2957682,2348002,2720699,3244544,3601482,3594160,3942691,4545268,5449956,6551557,4894535,3778719,3936363,3733690,2073264,383951,22602,553,113,63615406,홍대입구,서울특별시
35,고속터미널,1957,214930,1136647,2054342,3117199,3333919,3292249,3627842,3730095,3962432,4192446,4525719,4828792,5409862,5518053,4047455,3592476,2674030,1919283,801420,93965,432,62,1,62075608,고속터미널고속터미널고속터미널,서울특별시
11,강남,2618,276720,906633,2400320,4697638,4646346,2586274,2246048,2423155,2817066,2771700,3049963,3466379,4909608,6465909,4078326,2831984,3017149,2802259,1394544,257115,1874,357,0,58049985,강남,서울특별시
222,사당,4042,367524,1352434,2777879,3752761,2923997,2107182,2162762,2306007,2246780,2278520,2506136,3002525,3990024,5296758,3598617,2583553,2622357,2482246,1446545,294630,14065,309,2,50117655,사당사당,서울특별시
267,선릉,2384,176920,839087,2359982,5927702,4562680,2437448,1849281,1887217,2128995,2063252,2260869,2720933,4064109,5883067,2973881,1848155,1755049,1515479,611905,117886,1962,124,2,47988369,선릉,서울특별시
314,신림,3506,561693,1198724,2869721,4359769,2882436,1820802,1677138,1822297,1853780,1846244,2061007,2387698,2915692,4187016,3474010,2325555,2225687,2050262,1284325,323939,6243,264,0,44137808,신림,서울특별시
3,가산디지털단지,30240,320620,765673,2782927,7367916,4050498,1424975,1115063,1197547,1303914,1316101,1456244,1927162,4178123,6138925,2730990,1568314,1306732,860116,418228,71984,106,11,0,42332409,가산디지털단지가산디지털단지,서울특별시
54,구로디지털단지,3928,548254,941608,2813233,5466846,3338664,1639633,1360356,1463903,1599695,1522882,1679880,2030755,3100073,4918126,3088156,1936664,1804395,1605968,888794,200408,3788,168,0,41956177,구로디지털단지,서울특별시
361,여의도,410,136400,767491,3774882,5406612,2333965,1247245,1397936,1389861,1598455,1587866,1754890,2174301,4541262,5191222,2321193,1805193,1491267,961566,384947,82907,2921,199,0,40352991,여의도여의도,서울특별시
312,신도림,55813,540388,1020043,2483869,3614881,2191972,1711922,1674792,1810063,1899960,1851164,2036157,2337697,3012386,4209260,2721274,1852643,1848271,1612379,1011453,323190,31570,409,280,39851836,신도림신도림,서울특별시
25,건대입구,5502,302213,663433,1404065,2731583,2072884,1562974,1590515,1808246,1993641,2024497,2214300,2584072,3275019,4163976,2949708,2263121,2212040,2116096,1259248,292336,13140,335,26,39502970,건대입구건대입구,서울특별시
231,삼성,2262,127391,620098,1915630,4580010,3376582,1760862,1549721,1597262,1877266,1908200,2068324,2373274,3605453,4774741,2471545,1746636,1522215,1024381,340296,89323,12939,109,141,39344661,삼성(무역센터),서울특별시
446,종로3가,3484,137161,406250,842745,2230143,2171111,2002091,2288991,2537387,2604146,2637840,2695465,2842853,3233358,3935268,2249721,1615033,1653639,1310304,650491,95503,1596,262,23,38144865,종로3가종로3가종로3가(탑골공원),서울특별시
364,역삼,536,139480,612152,2045740,4960026,4253692,1989294,1311542,1284634,1453951,1417172,1591615,1824224,3371072,4389531,2428514,1426260,1322015,973556,420489,82229,1006,52,0,37298782,역삼,서울특별시
512,합정,1532,235034,585947,1367632,2775098,2173440,1420929,1471176,1627083,1818592,1784209,1890392,2211659,2892379,4201456,2777772,1906074,1928041,1763443,1031621,219273,3204,205,0,36086191,합정합정,서울특별시
301,시청,2386,122113,600874,1848330,5384617,2524766,1285442,1412047,1408890,1561335,1610713,1774806,1940168,2988702,4806711,1817593,1418296,1331641,891331,364439,51608,1377,680,1,35148866,시청시청,서울특별시
255,서울대입구,55342,392776,740912,1993852,3145596,2371087,1597365,1391696,1531143,1652811,1562523,1713812,1963933,2467722,3408408,2575694,1730478,1686204,1619949,935054,285126,39220,321,171,34861195,서울대입구(관악구청),서울특별시
52,교대,1310,151646,624574,1433906,3269220,2827929,1630223,1548427,1529278,1731877,1788509,1824531,1958359,2898517,3884032,1944859,1441425,1454746,1256284,531787,98857,509,156,0,33830961,교대(법원·검찰청)교대(법원·검찰청),서울특별시
369,영등포,58061,306066,533889,1294799,2403663,1737788,1459864,1635888,1769379,1921888,1840627,2090725,2326299,2731182,3562316,2130585,1760468,1412350,1133465,503926,48069,106,6,0,32661409,영등포,서울특별시
410,을지로입구,996,66193,387093,1691819,4375812,2270603,1251150,1299688,1275893,1404911,1427606,1558779,1747133,2740241,4321958,1956715,1633429,1231933,953991,427403,99224,9549,203,79,32132401,을지로입구,서울특별시
393,용산,5397,125407,545700,1284400,2456798,1986909,1526943,1586137,1583559,1791611,1668390,2149460,2277317,2678373,3224822,2020871,1765167,1576176,1008366,420312,27298,29,2,2,31709446,용산,서울특별시
96,노원,4007,285611,692509,1557977,2212516,1757936,1422751,1451602,1619252,1704972,1703593,1834554,2054557,2348031,2890011,2228226,1534117,1307805,1173527,653693,165528,7572,18,0,30610365,노원노원,서울특별시
327,신촌,1027,140768,404166,996249,1854213,1784555,1376272,1386670,1599464,1759067,1646495,1722300,1969092,2454490,2820944,1897351,1485490,1486395,1426551,798931,154533,2019,346,0,29167388,신촌,서울특별시
272,성수,790,122578,511844,1261852,3818287,2259168,1123623,992141,1099813,1250306,1293293,1410251,1627361,2415701,3973787,1968558,1249715,1125736,864150,420421,113881,10901,154,159,28914470,성수,서울특별시
