,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총승차인원(평균),호선명,지하철역,주소
3,강남,201.0,21286.0,69741.0,184640.0,361357.0,357411.0,198944.0,172773.0,186397.0,216697.0,213208.0,234613.0,266645.0,377662.0,497378.0,313717.0,217845.0,232088.0,215558.0,107273.0,19778.0,144.0,27.0,0.0,4465383.0,2호선,강남,서울특별시
28,구로디지털단지,302.0,42173.0,72431.0,216403.0,420527.0,256820.0,126126.0,104643.0,112608.0,123053.0,117145.0,129222.0,156212.0,238467.0,378317.0,237550.0,148974.0,138800.0,123536.0,68369.0,15416.0,291.0,13.0,0.0,3227398.0,2호선,구로디지털단지,서울특별시
122,삼성,174.0,9799.0,47700.0,147356.0,352308.0,259737.0,135451.0,119209.0,122866.0,144405.0,146785.0,159102.0,182560.0,277343.0,367288.0,190119.0,134357.0,117093.0,78799.0,26177.0,6871.0,995.0,8.0,11.0,3026512.0,2호선,삼성(무역센터),서울특별시
193,역삼,41.0,10729.0,47089.0,157365.0,381540.0,327207.0,153023.0,100888.0,98818.0,111842.0,109013.0,122432.0,140325.0,259313.0,337656.0,186809.0,109712.0,101693.0,74889.0,32345.0,6325.0,77.0,4.0,0.0,2869137.0,2호선,역삼,서울특별시
224,잠실,56.0,10418.0,47618.0,116394.0,215554.0,169804.0,120369.0,123183.0,128080.0,136132.0,141334.0,160747.0,182070.0,227954.0,288867.0,188066.0,156650.0,144087.0,110660.0,45582.0,7846.0,136.0,9.0,0.0,2721616.0,2호선8호선,잠실(송파구청)잠실(송파구청),서울특별시
135,서울대입구,4257.0,30214.0,56993.0,153373.0,241969.0,182391.0,122874.0,107054.0,117780.0,127139.0,120194.0,131832.0,151072.0,189825.0,262185.0,198130.0,133114.0,129708.0,124611.0,71927.0,21933.0,3017.0,25.0,13.0,2681630.0,2호선,서울대입구(관악구청),서울특별시
197,영등포,4466.0,23544.0,41068.0,99600.0,184897.0,133676.0,112297.0,125838.0,136106.0,147838.0,141587.0,160825.0,178946.0,210091.0,274024.0,163891.0,135421.0,108642.0,87190.0,38764.0,3698.0,8.0,0.0,0.0,2512416.0,1호선,영등포,서울특별시
218,을지로입구,77.0,5092.0,29776.0,130140.0,336601.0,174662.0,96242.0,99976.0,98146.0,108070.0,109816.0,119906.0,134395.0,210788.0,332458.0,150517.0,125648.0,94764.0,73384.0,32877.0,7633.0,735.0,16.0,6.0,2471723.0,2호선,을지로입구,서울특별시
211,용산,415.0,9647.0,41977.0,98800.0,188984.0,152839.0,117457.0,122011.0,121812.0,137816.0,128338.0,165343.0,175178.0,206029.0,248063.0,155452.0,135782.0,121244.0,77567.0,32332.0,2100.0,2.0,0.0,0.0,2439188.0,1호선,용산,서울특별시
144,성수,61.0,9429.0,39373.0,97066.0,293714.0,173782.0,86433.0,76319.0,84601.0,96177.0,99484.0,108481.0,125182.0,185823.0,305676.0,151428.0,96132.0,86595.0,66473.0,32340.0,8760.0,839.0,12.0,12.0,2224190.0,2호선,성수,서울특별시
185,양재,96.0,7822.0,56631.0,139509.0,274344.0,151334.0,87772.0,80644.0,79818.0,90416.0,88295.0,97479.0,116860.0,185946.0,267524.0,134645.0,93928.0,86522.0,64713.0,26992.0,4410.0,30.0,6.0,0.0,2135737.0,3호선,양재(서초구청),서울특별시
261,혜화,25.0,6141.0,30470.0,66809.0,136689.0,110865.0,98072.0,101743.0,115515.0,135719.0,136226.0,140642.0,153129.0,179789.0,198824.0,126522.0,93544.0,115017.0,104531.0,41475.0,6055.0,330.0,2.0,0.0,2098136.0,4호선,혜화,서울특별시
232,종각,94.0,8235.0,28187.0,106212.0,258238.0,154103.0,78762.0,84486.0,84119.0,92256.0,94093.0,103093.0,114938.0,184252.0,258909.0,115210.0,90421.0,94528.0,71535.0,33018.0,1728.0,44.0,0.0,0.0,2056460.0,1호선,종각,서울특별시
151,수유,103.0,24657.0,59191.0,134046.0,174031.0,116539.0,86486.0,84481.0,89152.0,91961.0,92001.0,100225.0,120212.0,141415.0,187901.0,147182.0,96602.0,86717.0,76334.0,48409.0,8390.0,43.0,0.0,0.0,1966079.0,4호선,수유(강북구청),서울특별시
119,사당,155.0,14136.0,52017.0,106842.0,144337.0,112461.0,81045.0,83183.0,88693.0,86415.0,87635.0,96390.0,115482.0,153462.0,203721.0,138408.0,99367.0,100860.0,95471.0,55636.0,11332.0,541.0,12.0,0.0,1927602.0,2호선4호선,사당사당,서울특별시
182,압구정,99.0,5060.0,31256.0,62888.0,172034.0,173194.0,105852.0,96628.0,90776.0,99238.0,102710.0,108405.0,121241.0,153216.0,202552.0,128471.0,91166.0,71359.0,54005.0,18902.0,3624.0,173.0,7.0,0.0,1892857.0,3호선,압구정,서울특별시
7,강변,29.0,10810.0,49407.0,101944.0,160386.0,122474.0,103287.0,93186.0,95097.0,96232.0,96380.0,107583.0,117687.0,139270.0,173077.0,123896.0,89907.0,75029.0,62458.0,31267.0,6281.0,93.0,7.0,0.0,1855786.0,2호선,강변(동서울터미널),서울특별시
141,선릉,92.0,6805.0,32273.0,90769.0,227989.0,175488.0,93748.0,71126.0,72585.0,81884.0,79356.0,86956.0,104651.0,156312.0,226272.0,114380.0,71083.0,67502.0,58288.0,23535.0,4534.0,75.0,5.0,0.0,1845706.0,2호선,선릉,서울특별시
24,광화문,21.0,2283.0,30444.0,84353.0,269490.0,130236.0,69099.0,75016.0,74045.0,85722.0,85043.0,89732.0,104148.0,154955.0,257239.0,98269.0,70511.0,72605.0,50024.0,18438.0,2880.0,67.0,127.0,0.0,1824746.0,5호선,광화문(세종문화회관),서울특별시
158,신논현,52.0,5766.0,26681.0,71119.0,130815.0,125881.0,79830.0,74049.0,78828.0,87024.0,87611.0,92297.0,110972.0,146813.0,201412.0,130431.0,87637.0,88723.0,80793.0,43761.0,7438.0,507.0,3.0,0.0,1758443.0,9호선,신논현,서울특별시
45,남부터미널,47.0,4206.0,34734.0,89916.0,193882.0,119282.0,83066.0,75313.0,78309.0,87563.0,87507.0,91314.0,108873.0,153206.0,197213.0,103027.0,68763.0,59768.0,48758.0,18736.0,2580.0,12.0,2.0,0.0,1706077.0,3호선,남부터미널(예술의전당),서울특별시
164,신림,135.0,21604.0,46105.0,110374.0,167683.0,110863.0,70031.0,64505.0,70088.0,71299.0,71009.0,79270.0,91835.0,112142.0,161039.0,133616.0,89444.0,85603.0,78856.0,49397.0,12459.0,240.0,10.0,0.0,1697608.0,2호선,신림,서울특별시
168,신사,76.0,5800.0,24324.0,54521.0,117615.0,149239.0,87241.0,73473.0,76492.0,83888.0,87964.0,93738.0,106298.0,142271.0,195819.0,125624.0,79134.0,79816.0,67713.0,32080.0,5157.0,14.0,9.0,0.0,1688308.0,3호선,신사,서울특별시
262,홍대입구,420.0,12347.0,19514.0,40746.0,76603.0,75838.0,60205.0,69762.0,83193.0,92346.0,92158.0,101095.0,116545.0,139742.0,167989.0,125501.0,96890.0,100932.0,95736.0,53161.0,9845.0,580.0,14.0,3.0,1631164.0,2호선,홍대입구,서울특별시
1,가산디지털단지,1163.0,12332.0,29449.0,107036.0,283381.0,155788.0,54807.0,42887.0,46060.0,50151.0,50619.0,56009.0,74122.0,160697.0,236112.0,105038.0,60320.0,50259.0,33081.0,16086.0,2769.0,4.0,0.0,0.0,1628170.0,1호선7호선,가산디지털단지가산디지털단지,서울특별시
42,까치산,209.0,26230.0,52496.0,135618.0,176490.0,97701.0,65106.0,62231.0,67397.0,66713.0,64566.0,73952.0,87110.0,103153.0,153630.0,117147.0,76937.0,71689.0,59833.0,36605.0,9165.0,378.0,7.0,0.0,1604362.0,2호선5호선,까치산까치산,서울특별시
176,쌍문,259.0,24677.0,60755.0,137661.0,151633.0,97227.0,72643.0,67445.0,71371.0,69408.0,66961.0,74794.0,88996.0,104928.0,137087.0,118501.0,75787.0,66618.0,60287.0,37120.0,7711.0,38.0,0.0,0.0,1591906.0,4호선,쌍문,서울특별시
18,고속터미널,50.0,5511.0,29145.0,52675.0,79928.0,85485.0,84417.0,93022.0,95643.0,101601.0,107499.0,116044.0,123815.0,138714.0,141489.0,103781.0,92115.0,68565.0,49212.0,20549.0,2409.0,11.0,2.0,0.0,1591682.0,3호선7호선9호선,고속터미널고속터미널고속터미널,서울특별시
264,화곡,285.0,24312.0,51020.0,130191.0,178487.0,97575.0,64502.0,60894.0,65329.0,66402.0,63593.0,70055.0,86727.0,106129.0,158833.0,113236.0,70600.0,65469.0,56390.0,33283.0,8561.0,25.0,5.0,1.0,1571903.0,5호선,화곡,서울특별시
43,낙성대,33.0,13433.0,36317.0,100934.0,166056.0,113911.0,71976.0,61669.0,67980.0,69040.0,66811.0,72642.0,84272.0,105418.0,149539.0,115108.0,77933.0,74252.0,70200.0,42110.0,10083.0,203.0,11.0,0.0,1569931.0,2호선,낙성대,서울특별시
95,명동,30.0,2250.0,20180.0,53540.0,120942.0,94199.0,73624.0,80415.0,89207.0,89365.0,91045.0,104187.0,112923.0,133793.0,168675.0,97310.0,79532.0,68804.0,50520.0,19754.0,2801.0,97.0,1.0,0.0,1553193.0,4호선,명동,서울특별시
192,여의도,16.0,5246.0,29519.0,145188.0,207947.0,89768.0,47971.0,53767.0,53456.0,61479.0,61072.0,67496.0,83627.0,174664.0,199662.0,89277.0,69430.0,57356.0,36983.0,14806.0,3189.0,112.0,8.0,0.0,1552038.0,5호선9호선,여의도여의도,서울특별시
