,사용월,호선명,지하철역,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원
0,202305,1호선,동대문,925,14519,17185,28772,42941,43945,44351,48014,50520,50322,51762,50290,49542,47897,46581,40209,31130,28759,23438,14676,3243,269,0,0,729290
1,202305,1호선,동묘앞,213,4337,8959,17952,34498,28748,34698,47080,56105,64745,62359,61681,56240,48350,35595,20590,13551,11633,11386,5568,1794,283,0,0,626365
2,202305,1호선,서울역,745,18523,71257,158562,306186,223709,145380,153364,178149,175554,147319,182938,202583,268414,317777,184996,133910,129509,87951,40714,5324,228,0,0,3133092
3,202305,1호선,시청,93,7259,28799,84111,208179,105698,63535,70203,70666,77701,74882,83910,91537,124604,188321,78798,66899,59986,39610,15055,1287,25,0,0,1541158
4,202305,1호선,신설동,483,11570,19200,47180,88385,55760,40099,40199,40944,43192,41650,44879,51692,64606,82702,44356,30810,28432,22711,13965,2639,2,0,0,815456
5,202305,1호선,제기동,388,7615,18851,44112,73207,61362,67638,80284,86746,90487,89126,87512,81436,74226,68350,41023,27110,22366,16725,9366,1589,0,0,0,1049519
6,202305,1호선,종각,149,9412,33051,116200,275493,162539,85687,92664,90562,100136,102265,109297,121894,194348,268587,123724,99806,103465,73281,33869,1774,0,0,0,2198203
7,202305,1호선,종로3가,258,7812,16928,33144,83650,86108,83045,101346,114864,116672,117876,118057,120772,128943,146565,86935,68597,68565,52102,25381,3584,19,0,0,1581223
8,202305,1호선,종로5가,75,6230,20399,49911,110298,80775,87366,105276,112901,116413,121465,115685,114437,129874,136841,75374,52091,45650,28101,10772,1156,2,0,0,1521092
9,202305,1호선,청량리(서울시립대입구),1010,15203,37969,58325,86373,70043,71745,79214,84352,89306,89224,93384,98927,95718,94399,58285,40067,35514,26344,14015,4071,0,0,0,1243488
10,202305,2호선,강남,157,20427,72894,193500,364247,354450,202812,173533,184585,214173,214981,234900,268338,376608,493826,313086,222813,238077,212090,103097,21319,194,0,0,4480107
11,202305,2호선,강변(동서울터미널),39,10939,54264,105826,165711,126428,105901,94168,96824,96951,97648,109557,121073,142553,176530,127677,93591,79230,67124,32916,7374,143,0,0,1912467
12,202305,2호선,건대입구,374,20593,39577,81205,157841,119245,89774,90558,106191,115233,117169,128946,151476,193836,254278,180903,142544,145466,141183,90908,21593,890,0,0,2389783
13,202305,2호선,교대(법원.검찰청),17,10143,39308,87771,196542,171025,97709,91976,88055,100151,102053,103810,108956,159252,207621,107485,80502,80832,68656,29738,7165,78,0,0,1938845
14,202305,2호선,구로디지털단지,328,44342,76283,225530,412682,261834,132551,109031,117548,128584,119185,132282,160282,241062,370467,237360,155267,143814,127345,71440,18289,642,0,0,3286148
15,202305,2호선,구의(광진구청),47,15336,46782,86191,156294,96365,59707,52452,55907,59609,57560,65498,81354,97453,136381,92665,65281,62724,57836,33200,9147,163,0,0,1387952
16,202305,2호선,낙성대(강감찬),54,14198,38713,106391,169648,117151,77462,64365,70546,71893,69009,74800,87812,109880,152464,115300,82602,77542,74376,45246,12309,430,4,0,1632195
17,202305,2호선,당산,27,10600,31215,76997,137554,77233,46988,43390,46514,48417,45511,51641,62798,94839,136950,80053,56881,57078,51008,30098,7046,336,0,0,1193174
18,202305,2호선,대림(구로구청),742,37222,43293,93423,150751,101470,73394,70834,70627,69784,67485,77436,89440,107897,123116,83662,62371,66546,58522,28961,7238,277,0,0,1484491
19,202305,2호선,도림천,1,770,2281,7229,8924,4083,3514,3050,4077,3369,3797,4170,4774,4883,6543,4031,2706,2245,1723,1146,278,8,0,0,73602
20,202305,2호선,동대문역사문화공원(DDP),206,7008,13989,31575,62962,47220,46575,51402,52062,56584,60930,65144,71901,77829,82693,62178,48865,46467,37646,22380,6127,134,0,0,951877
