,역명,이름,주소,전화번호,위도,경도,링크
0,가산디지털단지,GS25 가리봉역점,서울 금천구 가산동 60-15,02-830-3611,37.48024216359121,126.88384686531602,http://place.map.kakao.com/12296582
1,가산디지털단지,CU 가산디지털단지역점,서울 금천구 가산동 459-11,,37.4820529536196,126.881790847201,http://place.map.kakao.com/1984763422
2,가산디지털단지,GS25 가산포스트6차점,서울 금천구 가산동 50-3,,37.4814387278239,126.88387214789101,http://place.map.kakao.com/451432380
3,가산디지털단지,GS25 가산스타점,서울 금천구 가산동 60-11,02-2027-0259,37.4819515176164,126.88491152793002,http://place.map.kakao.com/12296728
4,가산디지털단지,CU 가산벚꽃로점,서울 금천구 가산동 40-20,02-854-7226,37.482363949562505,126.882844104163,http://place.map.kakao.com/557204091
5,가산디지털단지,이마트24 가산GBC점,서울 금천구 가산동 371-6,02-3289-9090,37.48012840197814,126.88089618572849,http://place.map.kakao.com/27260286
6,가산디지털단지,GS25 가산V1점,서울 금천구 가산동 371-41,,37.4809630895856,126.880354429969,http://place.map.kakao.com/1612056343
7,가산디지털단지,CU 가산W센터점,서울 금천구 가산동 371-106,02-6281-6655,37.4814454302244,126.88065214347034,http://place.map.kakao.com/264964359
8,가산디지털단지,이마트24 가산디지털역점,서울 금천구 가산동 371-28,,37.4798409860319,126.88270332746299,http://place.map.kakao.com/459694548
9,가산디지털단지,이마트24 가산SKV1점,서울 금천구 가산동 371-41,02-6916-1500,37.480714896084315,126.88083420216608,http://place.map.kakao.com/1998607499
10,가산디지털단지,CU 가산굴다리점,서울 금천구 가산동 32-25,,37.4844773970947,126.882524218869,http://place.map.kakao.com/337155875
11,가산디지털단지,CU 가산에이스타워점,서울 금천구 가산동 470-5,,37.482965167992894,126.881285145177,http://place.map.kakao.com/1940272706
12,가산디지털단지,CU KCC웰츠밸리점,서울 금천구 가산동 470-8,02-6111-8866,37.4838924149947,126.87961257331699,http://place.map.kakao.com/393994860
13,가산디지털단지,세븐일레븐 가산반도점,서울 금천구 가산동 470-1,,37.483457626105796,126.88089429307101,http://place.map.kakao.com/1446106709
14,가산디지털단지,스토리웨이,서울 금천구 가산동 48-2,,37.4810090142066,126.883027117143,http://place.map.kakao.com/20546631
15,가산디지털단지,바이마트로디지털3단지,서울 금천구 가산동 470-5,02-6670-4546,37.4829606606869,126.88128289103099,http://place.map.kakao.com/16560234
16,가산디지털단지,코레일유통 가산디지털역1호점,서울 금천구 가산동 468-4,,37.481596008752796,126.882560387406,http://place.map.kakao.com/14309034
17,청량리,CU 청량리역점,서울 동대문구 전농동 591-8,02-957-9236,37.58140383785039,127.04711004158578,http://place.map.kakao.com/15855443
18,청량리,이마트24 청량리타운점,서울 동대문구 전농동 620-28,,37.579656699169796,127.04508927465099,http://place.map.kakao.com/1325551526
19,청량리,GS25 청량사랑점,서울 동대문구 청량리동 719,02-963-9870,37.58191314799029,127.04413511435705,http://place.map.kakao.com/12296605
20,청량리,CU 청량코아점,서울 동대문구 청량리동 300,02-458-7911,37.5817434743411,127.044895806519,http://place.map.kakao.com/1987391904
21,청량리,세븐일레븐 청량미주점,서울 동대문구 청량리동 235-4,,37.5823082389184,127.04759969593799,http://place.map.kakao.com/1030404801
22,청량리,세븐일레븐 청량리전농점,서울 동대문구 전농동 597-11,,37.582790617490204,127.04895405120399,http://place.map.kakao.com/1418064738
23,청량리,세븐일레븐 청량리힐스테이트점,서울 동대문구 청량리동 235-6,,37.5830648023951,127.048267014826,http://place.map.kakao.com/1239330167
24,청량리,스토리웨이,서울 동대문구 전농동 591-53,,37.58069599221879,127.048506626177,http://place.map.kakao.com/1972930272
25,종로5가,GS25 종로광장시장점,서울 종로구 종로5가 398-1,02-2274-7511,37.570273329909206,127.001693408995,http://place.map.kakao.com/1388630307
26,종로5가,CU 종로광장시장점,서울 종로구 종로5가 398-17,,37.5698624773288,127.001598315753,http://place.map.kakao.com/1923049011
27,종로5가,이마트24 종로BS타워점,서울 종로구 효제동 193-1,02-766-7071,37.57178784626944,127.00403098364964,http://place.map.kakao.com/254930086
28,종로5가,CU 종로5가점,서울 종로구 종로4가 2-8,02-743-1705,37.571159921428205,127.00004980673701,http://place.map.kakao.com/10042631
29,종로5가,CU 종로연강홀점,서울 종로구 효제동 320,02-765-0183,37.571484269200894,127.001575710886,http://place.map.kakao.com/15469636
30,종로5가,CU 종로햇살점,서울 종로구 효제동 248-1,02-376-3535,37.5715166957866,127.002159811548,http://place.map.kakao.com/1664606936
31,종로5가,CU 광장시장점,서울 종로구 예지동 2-1,,37.5701111625175,126.999705691588,http://place.map.kakao.com/1556454061
32,종로5가,이마트24 R종로대호점,서울 종로구 연지동 136-73,070-7700-3008,37.5730123666757,127.000402991765,http://place.map.kakao.com/1395043627
33,종로5가,세븐일레븐 청계하이뷰점,서울 종로구 종로5가 138-4,,37.5706841897999,127.001203277841,http://place.map.kakao.com/806833876
34,종로5가,세븐일레븐 종로인의점,서울 종로구 인의동 31,,37.57205731172727,126.99953815016713,http://place.map.kakao.com/14103913
35,종로5가,인더라인25,서울 종로구 효제동 248-1,,37.5715130918059,127.002159811444,http://place.map.kakao.com/14098751
36,종로5가,로그인편의점 종로기독교회관점,서울 종로구 연지동 136-46,070-7675-3806,37.5729150489637,127.001607436971,http://place.map.kakao.com/18768443
37,종각,이마트24 청계천점,서울 종로구 서린동 88,,37.5693096043926,126.981341046733,http://place.map.kakao.com/27260481
38,종각,GS25 그랑서울본점,서울 종로구 청진동 70,,37.5714287173291,126.98116392991999,http://place.map.kakao.com/25757422
39,종각,GS25 종로94빌딩점,서울 종로구 공평동 144,1644-5425,37.57184243787656,126.98221996457472,http://place.map.kakao.com/839147467
40,종각,GS25 종로타워점,서울 종로구 청진동 70,02-2158-7946,37.5707935290482,126.981247855352,http://place.map.kakao.com/550891269
41,종각,GS25 다동타운점,서울 중구 다동 70,,37.568141932685705,126.981459058274,http://place.map.kakao.com/17056305
42,종각,GS25 종각점,서울 종로구 관철동 45-1,,37.5696488155735,126.98434741711701,http://place.map.kakao.com/20038328
43,종각,CU 종로1가점,서울 종로구 종로1가 24,02-2075-5537,37.57068518719696,126.97989631737886,http://place.map.kakao.com/1307881432
44,종각,CU 종각센트로폴리스점,서울 종로구 공평동 17,,37.571187695827405,126.98419880677305,http://place.map.kakao.com/1674712609
45,종각,GS25 종로SC점,서울 종로구 공평동 100,,37.571126179771205,126.982440869149,http://place.map.kakao.com/1811620659
46,종각,GS25 종로청진점,서울 종로구 청진동 146,02-2075-5050,37.5708338568058,126.979927972476,http://place.map.kakao.com/12297138
47,종각,세븐일레븐 종각점,서울 종로구 관철동 42-3,02-738-2071,37.56911905677326,126.98454901336909,http://place.map.kakao.com/12373401
48,종각,GS25 종로YMCA점,서울 종로구 종로2가 9,02-736-2225,37.5704814721431,126.98541581407301,http://place.map.kakao.com/213743307
49,종각,GS25 청진타워8점,서울 종로구 청진동 128,,37.57046545451139,126.98055404564978,http://place.map.kakao.com/27498591
50,종각,미니스톱 청계센터점,서울 종로구 관철동 43-8,1577-9621,37.56897576908881,126.984326051135,http://place.map.kakao.com/27373999
51,종각,CU 영풍문고종각종로본점,서울 종로구 서린동 33,,37.5696683301707,126.98217973124201,http://place.map.kakao.com/1498992214
52,종각,세븐일레븐 무교3호점,서울 중구 다동 92,02-754-4870,37.567871697275,126.98186661700599,http://place.map.kakao.com/8444606
53,종각,세븐일레븐 무교다동점,서울 중구 무교동 10-2,02-318-2762,37.568271383977205,126.979684163755,http://place.map.kakao.com/1549354104
54,종각,세븐일레븐 종로두산점,서울 종로구 수송동 58,02-732-7110,37.5724163171326,126.981860987218,http://place.map.kakao.com/7950675
55,종각,SM마트,서울 종로구 관철동 252-1,02-722-3738,37.5690036326209,126.98382686034799,http://place.map.kakao.com/10579259
56,종각,세븐일레븐 M종각역점,서울 종로구 종로1가 52-2,,37.570012597134976,126.98276373744578,http://place.map.kakao.com/18115309
57,종각,CU 청계광장점,서울 종로구 서린동 146,,37.56940743719429,126.979098639753,http://place.map.kakao.com/1896730797
58,제기동,이마트24 제기약령시점,서울 동대문구 제기동 719,02-965-9925,37.58489115555084,127.03833332233832,http://place.map.kakao.com/615352996
59,제기동,CU 제기약령시점,서울 동대문구 제기동 833,02-967-3219,37.5830254744372,127.03747419533501,http://place.map.kakao.com/26896129
60,동묘앞,GS25 숭인현대점,서울 종로구 숭인동 1062,02-921-8584,37.575724155128704,127.021775928782,http://place.map.kakao.com/858523201
61,동묘앞,GS25 숭인보문점,서울 종로구 숭인동 376,,37.5783442263885,127.021885371474,http://place.map.kakao.com/1087918878
62,동묘앞,세븐일레븐 신설동역점,서울 종로구 숭인동 1248,02-926-0609,37.576105959888004,127.022921670664,http://place.map.kakao.com/7955985
63,동묘앞,GS25 동대문신설점,서울 동대문구 신설동 24-1,1644-5425,37.577616382241175,127.02557570341759,http://place.map.kakao.com/19462211
64,동묘앞,CU 숭인한양점,서울 종로구 숭인동 741,,37.57670810646335,127.0214184858505,http://place.map.kakao.com/687412781
65,동묘앞,세븐일레븐 종로숭인점,서울 종로구 숭인동 390-1,02-923-3126,37.5782792269321,127.02256459987801,http://place.map.kakao.com/12149385
66,동묘앞,CU 신설남예종점,서울 동대문구 신설동 72-10,02-953-4566,37.5772515400853,127.02529482688699,http://place.map.kakao.com/27386740
67,동묘앞,세븐일레븐 동묘제일점,서울 종로구 숭인동 371,,37.5780558779419,127.02204830597401,http://place.map.kakao.com/375851768
68,회기,GS25 휘경제이스카이점,서울 동대문구 휘경동 192-1,1644-5425,37.59041475069179,127.0607345767868,http://place.map.kakao.com/642456814
69,회기,이마트24 JLL회기로점,서울 동대문구 휘경동 183-373,02-6916-1500,37.591664766145726,127.058274012304,http://place.map.kakao.com/54860326
70,회기,GS25 회기역점,서울 동대문구 휘경동 191-10,070-4187-3299,37.590167548345,127.05780408973,http://place.map.kakao.com/17056457
71,회기,CU 휘경행복점,서울 동대문구 휘경동 281-10,02-2212-1689,37.5888441416714,127.05931573744499,http://place.map.kakao.com/13270827
72,회기,CU 휘경점,서울 동대문구 휘경동 286-334,02-2217-8847,37.58899099886,127.061091208078,http://place.map.kakao.com/16329968
73,회기,CU 회기중앙점,서울 동대문구 휘경동 183-126,010-9696-7472,37.59057474781971,127.057904043988,http://place.map.kakao.com/12292046
74,회기,CU 회기창덕안점,서울 동대문구 휘경동 319-39,02-965-3666,37.58963263448084,127.05723868285929,http://place.map.kakao.com/19205724
75,회기,GS25 이문회기점,서울 동대문구 이문동 341-47,,37.592103386317206,127.05675935257099,http://place.map.kakao.com/541560789
76,회기,GS25 회기하트리움점,서울 동대문구 휘경동 281-1,,37.5886878739306,127.058302261728,http://place.map.kakao.com/1471924048
77,회기,세븐일레븐 휘경본점,서울 동대문구 휘경동 183-245,02-960-2135,37.591223920275205,127.056962494159,http://place.map.kakao.com/19429280
78,회기,세븐일레븐 이문경희점,서울 동대문구 휘경동 187-20,1577-0711,37.59237948408682,127.05780353592256,http://place.map.kakao.com/12723285
79,회기,CU 휘경해모로점,서울 동대문구 휘경동 79-5,02-339-4781,37.5908859530722,127.062492242464,http://place.map.kakao.com/1384660711
80,회기,GS25 신회기역점,서울 동대문구 휘경동 319-14,,37.5898007286875,127.05617789013901,http://place.map.kakao.com/12296557
81,회기,세븐일레븐 동대문휘경로점,서울 동대문구 휘경동 269-9,02-2215-7768,37.590194358621105,127.06179419245001,http://place.map.kakao.com/19429509
82,회기,세븐일레븐 회기휘경점,서울 동대문구 휘경동 281-17,,37.5886276934592,127.05973222838983,http://place.map.kakao.com/11124904
83,회기,스토리웨이 회기역점,서울 동대문구 휘경동 317-101,,37.589783595748465,127.05806874002523,http://place.map.kakao.com/1488451302
84,창동,GS25 창동본점,서울 도봉구 창동 12,,37.6530745226435,127.04982966594801,http://place.map.kakao.com/12296612
85,창동,GS25 창동미래점,서울 도봉구 창동 822,,37.65290416791656,127.0455426153144,http://place.map.kakao.com/1613128795
86,창동,GS25 창동시티점,서울 도봉구 창동 14,02-906-3389,37.653686718239605,127.050936100457,http://place.map.kakao.com/12296710
87,창동,CU 창동프라자점,서울 도봉구 창동 5-1,02-906-7020,37.6525414866423,127.049004336259,http://place.map.kakao.com/17056105
88,창동,CU 창동미소점,서울 도봉구 창동 254-23,02-904-0133,37.6533322535919,127.04523350840599,http://place.map.kakao.com/16962215
89,창동,CU 창동신한점,서울 도봉구 창동 3-4,,37.653332410313,127.049338021926,http://place.map.kakao.com/1699690862
90,창동,GS25 창동그린점,서울 도봉구 창동 252,,37.654585342191844,127.04569549577036,http://place.map.kakao.com/19032021
91,창동,세븐일레븐 창동중앙점,서울 도봉구 창동 12-3,,37.6532111089207,127.05068193530701,http://place.map.kakao.com/11298528
92,창동,세븐일레븐 창동서부점,서울 도봉구 창동 74-8,02-995-0710,37.65256420686129,127.046289190272,http://place.map.kakao.com/698888765
93,창동,CU 창동브래뉴점,서울 도봉구 창동 820,02-999-8797,37.655494367615844,127.04586490713088,http://place.map.kakao.com/1044760240
94,창동,GS25 R도봉4점,서울 도봉구 창동 8,,37.652170122605156,127.04938598053471,http://place.map.kakao.com/2097844428
95,창동,세븐일레븐 창동역점,서울 도봉구 창동 4,02-991-2535,37.6529810338285,127.049321924479,http://place.map.kakao.com/7950844
96,창동,세븐일레븐 도봉신원점,서울 도봉구 창동 338,,37.651474083639,127.04612080162701,http://place.map.kakao.com/369805856
97,창동,GS25 R도봉8점,서울 도봉구 창동 8,1644-5425,37.6522962530374,127.049403062089,http://place.map.kakao.com/92218728
98,창동,25시편의점,서울 도봉구 창동 134-36,,37.6530939649637,127.04633938051701,http://place.map.kakao.com/16299959
99,창동,토마토24 창동점,서울 도봉구 창동 5,,37.6528551055834,127.048818695888,http://place.map.kakao.com/16326852
100,월계,CU 하계청구점,서울 노원구 하계동 354,,37.637244464485796,127.06086784472299,http://place.map.kakao.com/1106396197
101,월계,GS25 월계타운점,서울 노원구 월계동 272-38,02-904-4491,37.6331335253236,127.058580543838,http://place.map.kakao.com/27603081
102,월계,GS25 하계비전점,서울 노원구 하계동 354,1644-5425,37.6344993848064,127.06216960941521,http://place.map.kakao.com/466370393
103,용산,CU 용산아이파크몰점,서울 용산구 한강로3가 40-999,,37.52956185970801,126.96471343188172,http://place.map.kakao.com/992690296
104,용산,CU 신용산래미안점,서울 용산구 한강로2가 422,02-798-3303,37.529105636472785,126.96672742386656,http://place.map.kakao.com/1953324332
105,용산,이마트24 이마트용산점,서울 용산구 한강로3가 40-999,,37.52965768176765,126.96578703197838,http://place.map.kakao.com/225477940
