호선명,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
1호선,가산디지털단지,1639,11084,21609,70155,168645,84822,33749,27864,29505,31217,31001,33736,47043,95573,138105,64637,39322,34597,26247,12586,1366,1,0,0,1004503,가산디지털단지,서울특별시
1호선,구로,11870,28017,32513,69025,110182,67212,47489,43455,44483,46509,46364,52425,62419,89594,105144,56141,40035,37356,29681,19484,12348,37,1,0,1051783,구로,서울특별시
1호선,금천구청,648,13331,23926,61456,72193,37814,28371,26635,28961,29719,27041,32476,36619,47192,71048,45256,26797,25096,19583,11119,813,2,0,0,666094,금천구청,서울특별시
1호선,남영,101,3736,11680,34188,70816,39798,24751,22551,23756,24009,23701,27917,34298,45162,65922,32512,24209,23434,20190,10585,704,1,0,0,564022,남영,서울특별시
1호선,노량진,492,6770,12871,26502,40039,25673,19598,22231,24823,26308,24954,27579,32894,42687,57295,35361,26986,27255,24756,11620,986,1,0,0,517682,노량진,서울특별시
1호선,대방,494,7570,18758,57546,79611,41543,27593,25964,28406,29437,27866,30615,34315,51993,72329,36695,26045,25884,20986,11353,1467,1,0,0,656469,대방,서울특별시
1호선,독산,682,10394,31057,92193,148980,73265,34598,30024,32788,32747,30240,35841,47086,89465,119229,69109,39921,34525,27173,13652,919,2,0,0,993889,독산,서울특별시
1호선,동대문,775,12860,15668,25846,40280,39784,39134,43448,47499,47042,47850,47244,46807,45466,43777,36000,27482,24669,20956,13105,2522,170,1,0,668383,동대문,서울특별시
1호선,동묘앞,186,3887,8274,15458,30896,26465,31287,43104,51921,61647,61191,59236,53387,44816,31654,17208,11201,10343,9504,5070,1726,261,3,0,578726,동묘앞,서울특별시
1호선,서울역,328,8630,32567,80379,153888,112608,77261,80156,90156,89065,75347,94623,103183,136067,165193,96742,69122,70079,48710,22455,2674,114,2,0,1609348,서울역,서울특별시
1호선,시청,112,6769,26792,73746,197782,98850,54829,60637,60209,65432,66730,74750,81789,114749,181999,71771,58637,54523,36194,13621,1245,30,1,0,1401196,시청,서울특별시
1호선,신길,703,11909,16586,42731,60760,29000,18398,17031,20127,18924,17880,20309,25743,35553,51291,27338,19043,19388,15466,8490,1435,1,0,0,478106,신길,서울특별시
1호선,신도림,485,3196,6697,16316,26351,13733,10013,9174,9740,10382,9858,11382,13222,19273,28037,14310,9664,9392,7671,4006,1085,2,0,0,233989,신도림,서울특별시
1호선,신설동,375,10919,18014,43061,85012,51455,38296,37828,39075,41386,40159,43091,49922,61642,80106,40880,27858,25902,20496,12233,2287,16,1,0,770013,신설동,서울특별시
1호선,영등포,4466,23544,41068,99600,184897,133676,112297,125838,136106,147838,141587,160825,178946,210091,274024,163891,135421,108642,87190,38764,3698,8,0,0,2512416,영등포,서울특별시
1호선,용산,415,9647,41977,98800,188984,152839,117457,122011,121812,137816,128338,165343,175178,206029,248063,155452,135782,121244,77567,32332,2100,2,0,0,2439188,용산,서울특별시
1호선,제기동,392,6993,16986,41267,71132,56187,63378,76909,86073,90000,88898,87044,80379,71275,66642,38125,24779,20180,15692,8894,1352,9,0,0,1012585,제기동,서울특별시
1호선,종각,94,8235,28187,106212,258238,154103,78762,84486,84119,92256,94093,103093,114938,184252,258909,115210,90421,94528,71535,33018,1728,44,0,0,2056460,종각,서울특별시
1호선,종로3가,174,6878,16791,30270,78965,80860,78167,96275,109627,113132,113230,113422,116062,124233,139415,79918,58692,59191,46188,21670,3055,62,2,0,1486278,종로3가,서울특별시
1호선,종로5가,41,5475,18049,46235,105166,74581,76118,91263,99037,102508,106169,103707,103580,118388,128299,67387,43982,39100,25737,9609,1085,8,0,0,1365523,종로5가,서울특별시
1호선,청량리,950,14770,36794,53747,81882,63724,65874,75103,80687,85733,87289,91048,95690,91502,89448,54319,36582,31869,24199,12803,3376,35,0,0,1177425,청량리(서울시립대입구),서울특별시
2호선,강남,201,21286,69741,184640,361357,357411,198944,172773,186397,216697,213208,234613,266645,377662,497378,313717,217845,232088,215558,107273,19778,144,27,0,4465383,강남,서울특별시
2호선,강변,29,10810,49407,101944,160386,122474,103287,93186,95097,96232,96380,107583,117687,139270,173077,123896,89907,75029,62458,31267,6281,93,7,0,1855786,강변(동서울터미널),서울특별시
2호선,건대입구,362,18212,38488,77211,153660,114086,81143,84786,98334,108273,109520,120123,143312,182739,243618,173974,131350,133702,130279,78891,17320,810,25,2,2240221,건대입구,서울특별시
2호선,교대,30,9561,37328,81346,190432,169761,96278,92057,89036,100217,102423,104248,110990,161553,212664,109790,79570,80350,68621,30226,6077,33,10,0,1932602,교대(법원·검찰청),서울특별시
2호선,구로디지털단지,302,42173,72431,216403,420527,256820,126126,104643,112608,123053,117145,129222,156212,238467,378317,237550,148974,138800,123536,68369,15416,291,13,0,3227398,구로디지털단지,서울특별시
2호선,구의,54,14608,42776,82403,151862,92496,56061,50362,54140,56430,55324,63361,76802,92798,135417,90457,61346,58863,54857,31296,7944,140,8,1,1329805,구의(광진구청),서울특별시
2호선,낙성대,33,13433,36317,100934,166056,113911,71976,61669,67980,69040,66811,72642,84272,105418,149539,115108,77933,74252,70200,42110,10083,203,11,0,1569931,낙성대,서울특별시
2호선,당산,28,9519,29057,72653,131093,70627,43390,41234,44246,45788,44146,49279,60257,88395,133446,76448,52862,52668,47616,28277,5905,160,13,0,1127108,당산,서울특별시
2호선,대림,706,35713,41576,88132,147901,96761,67958,65529,65789,66358,63961,72721,84672,103999,121275,81172,57798,62373,55897,27526,6131,204,5,0,1414157,대림(구로구청),서울특별시
2호선,도림천,1,711,2148,7123,9458,4270,3519,2946,4207,3301,3828,4012,5087,5115,6689,4368,2614,2318,1669,1075,297,7,0,0,74763,도림천,서울특별시
2호선,동대문역사문화공원,235,6335,12370,28124,60060,43405,40607,44851,47451,49732,53830,56981,61859,68596,74981,54413,39912,38371,30545,17497,4605,129,8,0,834897,동대문역사문화공원,서울특별시
2호선,뚝섬,12,5289,23607,55255,159247,107311,55344,48602,53596,59434,59952,67480,78731,108480,173611,89144,56673,52055,38651,18196,3784,76,4,0,1314534,뚝섬,서울특별시
2호선,문래,8,6147,25281,77986,171359,88015,46407,42622,48107,50715,48622,53035,64328,95534,161971,78350,47638,46404,39115,21424,4800,96,8,0,1217970,문래,서울특별시
2호선,방배,3,5259,20716,48809,106055,78724,50146,45263,48303,49874,51677,54067,61842,78230,104247,57169,40165,38535,35090,16953,3816,27,7,0,994976,방배,서울특별시
