호선명,역명,사용월,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
1호선,가산디지털단지,2629183,21302,144098,280919,912011,2192388,1102682,438734,362233,383571,405821,403007,438573,611561,1242450,1795371,840282,511184,449762,341207,163619,17753,10,4,0,13058542,가산디지털단지,서울특별시
1호선,구로,2629183,154304,364216,422673,897329,1432363,873761,617354,564918,578278,604611,602734,681527,811442,1164717,1366873,729831,520453,485632,385855,253289,160526,477,17,0,13673180,구로,서울특별시
1호선,금천구청,2629183,8427,173297,311032,798930,938514,491577,368818,346257,376498,386347,351527,422191,476043,613493,923624,588333,348359,326245,254575,144542,10575,20,0,0,8659224,금천구청,서울특별시
1호선,남영,2629183,1316,48574,151840,444439,920604,517379,321758,293166,308833,312123,308112,362923,445878,587103,856984,422658,314718,304645,262474,137604,9148,10,0,0,7332289,남영,서울특별시
1호선,노량진,2629183,6400,88010,167328,344522,520510,333745,254770,289000,322696,342007,324398,358523,427620,554934,744838,459696,350814,354321,321830,151066,12822,19,0,0,6729869,노량진,서울특별시
1호선,대방,2629183,6421,98414,243852,748096,1034938,540054,358714,337526,369277,382682,362256,397990,446096,675914,940272,477038,338589,336486,272818,147589,19065,15,0,0,8534102,대방,서울특별시
1호선,독산,2629183,8861,135118,403736,1198506,1936741,952450,449768,390312,426238,425713,393123,465928,612119,1163050,1549973,898417,518969,448826,353249,177481,11952,30,0,0,12920560,독산,서울특별시
1호선,동대문,2629183,10070,167186,203681,336001,523634,517192,508736,564818,617486,611540,622054,614175,608491,591057,569103,468003,357260,320692,272423,170362,32788,2210,11,0,8688973,동대문,서울특별시
1호선,동묘앞,2629183,2421,50530,107563,200952,401651,344042,406727,560356,674970,801417,795482,770073,694028,582603,411507,223709,145617,134463,123548,65906,22440,3391,39,0,7523435,동묘앞,서울특별시
1호선,서울역,5258366,8524,224378,846730,2089854,4001091,2927801,2008780,2084061,2344047,2315692,1959032,2460193,2682763,3537731,4295026,2515287,1797163,1822047,1266456,583838,69514,2971,63,0,41843042,서울역,서울특별시
1호선,시청,2629183,1460,88002,348293,958693,2571163,1285050,712772,788287,782716,850622,867492,971744,1063252,1491733,2365988,933022,762275,708797,470526,177072,16179,395,10,0,18215543,시청,서울특별시
1호선,신길,2629183,9137,154816,215621,555500,789882,377004,239175,221406,261652,246010,232437,264011,334663,462190,666785,355389,247559,252043,201058,110373,18651,19,1,0,6215382,신길,서울특별시
1호선,신도림,2629183,6311,41549,87057,212103,342559,178525,130170,119266,126623,134968,128160,147964,171885,250544,364481,186030,125631,122093,99725,52082,14101,28,0,0,3041855,신도림,서울특별시
1호선,신설동,2629183,4879,141947,234178,559787,1105155,668917,497854,491766,507972,538016,522067,560184,648983,801351,1041381,531436,362150,336721,266448,159024,29730,206,15,0,10010167,신설동,서울특별시
1호선,영등포,2629183,58061,306066,533889,1294799,2403663,1737788,1459864,1635888,1769379,1921888,1840627,2090725,2326299,2731182,3562316,2130585,1760468,1412350,1133465,503926,48069,106,6,0,32661409,영등포,서울특별시
1호선,용산,2629183,5397,125407,545700,1284400,2456798,1986909,1526943,1586137,1583559,1791611,1668390,2149460,2277317,2678373,3224822,2020871,1765167,1576176,1008366,420312,27298,29,2,2,31709446,용산,서울특별시
1호선,제기동,2629183,5090,90904,220816,536475,924717,730434,823919,999811,1118946,1170002,1155674,1131569,1044921,926580,866342,495624,322126,262346,203991,115624,17572,116,2,0,13163601,제기동,서울특별시
1호선,종각,2629183,1221,107055,366431,1380761,3357092,2003335,1023907,1098323,1093541,1199324,1223203,1340209,1494193,2395270,3365817,1497735,1175475,1228863,929958,429234,22459,573,3,0,26733982,종각,서울특별시
1호선,종로3가,2629183,2261,89414,218277,393507,1026547,1051185,1016168,1251580,1425146,1470721,1471986,1474486,1508800,1615028,1812394,1038929,763000,769489,600445,281712,39710,805,27,0,19321617,종로3가,서울특별시
1호선,종로5가,2629183,531,71169,234639,601057,1367152,969553,989532,1186425,1287479,1332600,1380200,1348188,1346544,1539043,1667891,876031,571766,508295,334579,124911,14104,106,2,0,17751797,종로5가,서울특별시
1호선,청량리,2629183,12354,192005,478323,698715,1064468,828415,856365,976336,1048930,1114529,1134760,1183628,1243969,1189520,1162818,706142,475561,414303,314588,166445,43893,457,6,0,15306530,청량리(서울시립대입구),서울특별시
