,선명,역명,주소,위도,경도
1,1호선,가산디지털단지,서울특별시 금천구 벚꽃로 309,37.4824123,126.8822401
3,1호선,개봉,서울특별시 구로구 경인로40길 47,37.4949138,126.859724
6,1호선,광운대,노원구 석계로 98-2,37.6234098,127.0622569
7,1호선,구로,서울특별시 구로구 구로중앙로 174,37.5025798,126.8821545
8,1호선,구일,서울시 구로구 구일로 133,37.4972421,126.8719888
11,1호선,금천구청,서울특별시 금천구 시흥대로63길 91  ,37.4569435,126.8941786
12,1호선,남영,서울특별시 용산구 한강대로77길 25  ,37.5416244,126.9712367
13,1호선,노량진,서울특별시 동작구 노량진로 151  ,37.5140077,126.9424338
15,1호선,녹천,서울특별시 도봉구 덕릉로 376,37.6456347,127.0509423
17,1호선,대방,서울특별시 영등포구 여의대방로 300,37.51331,126.9257017
20,1호선,도봉,서울특별시 도봉구 도봉로 170길 2,37.6752038,127.0448981
21,1호선,도봉산,서울특별시 도봉구 도봉로 948,37.6884439,127.0460563
24,1호선,독산,서울특별시 금천구 벚꽃로115,37.4665133,126.8892552
32,1호선,방학,서울시 도봉구 방학동 728,37.6655976,127.0444445
43,1호선,석계,서울특별시 노원구 화랑로 341,37.6158784,127.0653932
54,1호선,신길,서울특별시 영등포구 영등포로 327  ,37.516318,126.9170199
55,1호선,신도림,서울특별시 구로구 새말로 117-21  ,37.5087378,126.891109
56,1호선,신이문,서울특별시 동대문구 한천로 472,37.6051923,127.0691225
63,1호선,영등포,서울특별시 영등포구 경인로 846,37.5159228,126.9073727
64,1호선,오류동,서울시 구로구 경인로 20길 13,37.4952645,126.8449766
67,1호선,온수,서울시 구로구 부일로 872,37.4922795,126.8239982
69,1호선,외대앞,서울특별시 동대문구 휘경로 27  ,37.5997138,127.0661704
70,1호선,용산,서울 용산구 한강대로23길 55,37.529557,126.9641567
71,1호선,월계,서울시 노원구 월계로 53길 40,37.6350712,127.0589572
81,1호선,창동,서울특별시 도봉구 마들로 11길 77(창동역 1호선),37.6533776,127.0476817
86,1호선,회기,서울특별시 동대문구 회기로 196,37.5907958,127.0593134
121,수인분당,강남구청,서울특별시 강남구 학동로 346,37.51820379999999,127.0472197
122,수인분당,개포동,서울시 강남구 개포로 지하420,37.4868621,127.0645824
125,수인분당,구룡,서울특별시 강남구 개포로 지하 403,37.4868621,127.0645824
130,수인분당,대모산입구,서울시 강남구 개포로 522,37.4917142,127.0736619
131,수인분당,도곡,서울특별시 강남구 남부순환로 2814  ,37.490719,127.0549212
138,수인분당,복정(동서울대학),서울특별시 송파구 송파대로 6,37.4706579,127.1267053
141,수인분당,서울숲,서울특별시 성동구 왕십리로 77,37.54402650000001,127.0448771
143,수인분당,선릉,서울특별시 강남구 테헤란로 지하340,37.5041073,127.0475882
144,수인분당,선정릉(한국과학창의재단),서울시 강남구 선릉로 지하580(삼성동 111-114),37.510537,127.0445954
148,수인분당,수서,서울특별시 강남구 광평로 지하270 지하1층(수서동),37.4874685,127.1013245
156,수인분당,압구정로데오,서울시 강남구 압구정로 지하 402,37.5263577,127.0335584
165,수인분당,왕십리,서울특별시 성동구 왕십리광장로 18,37.5613049,127.0369583
176,수인분당,청량리,서울특별시 동대문구 왕산로 214,37.5809769,127.0469926
181,수인분당,한티,서울특별시 강남구 선릉로 228 지하1층,37.4992221,127.0515614
186,경춘,광운대,서울특별시 노원구 석계로 98-2,37.6234098,127.0622569
190,경춘,남춘천(강원대), 춘천시 영서로 2260,37.8640048,127.723833
193,경춘,망우,서울특별시 중랑구 망우로 55길 11-10,37.599235,127.0912611
197,경춘,상봉,서울특별시 중랑구 망우로 297,37.5967657,127.0860297
199,경춘,신내,서울특별시 중랑구 신내역로 20,37.6127015,127.1038214
200,경춘,중랑,서울특별시 중랑구 중랑역로 9,37.5948117,127.0757881
202,경춘,청량리,서울특별시 동대문구 왕산로 214,37.5809769,127.0469926
207,경춘,회기,서울특별시 동대문구 회기로 196,37.5907958,127.0593134
208,경의중앙,가좌,서울시 서대문구 수색로 27,37.5688828,126.9151667
211,경의중앙,공덕,서울특별시 마포구 마포대로 92  ,37.5430115,126.9511883
221,경의중앙,디지털미디어시티,서울특별시 은평구 수색로 193,37.5780342,126.8995155
222,경의중앙,망우,서울특별시 중랑구 망우로 55길 11-10,37.599235,127.0912611
225,경의중앙,상봉,서울시 중랑구 망우로 297,37.5967657,127.0860297
226,경의중앙,서강대,서울특별시 마포구 서강로 118(지하),37.5522603,126.9353225
227,경의중앙,서빙고,서울특별시 용산구 서빙고로 238,37.5199438,126.9900421
228,경의중앙,서울역,서울시 중구 통일로 1,37.5559588,126.9715835
229,경의중앙,수색,서울특별시 은평구 수색로 261-1  ,37.5805684,126.8958386
231,경의중앙,신촌,서울특별시 서대문구 신촌역로 30,37.5597943,126.9419176
235,경의중앙,양원(서울시북부병원),서울시 중랑구 송림길 147,37.6066215,127.1079185
239,경의중앙,옥수,서울특별시 성동구 동호로21,37.5400509,127.0177866
240,경의중앙,왕십리,서울특별시 성동구 왕십리광장로 17,37.5612886,127.038382
242,경의중앙,용산,서울특별시 용산구 한강대로 23길 55,37.529557,126.9641567
247,경의중앙,응봉,서울특별시 성동구 고산자로 124  ,37.5571673,127.0357202
248,경의중앙,이촌,서울특별시 용산구 이촌로71길 42,37.5213688,126.9732278
251,경의중앙,중랑,서울특별시 중랑구 중랑역로3길 28  ,37.5950121,127.074834
253,경의중앙,청량리,서울특별시 동대문구 왕산로 214 청량리역,37.5809769,127.0469926
258,경의중앙,한남,서울특별시 용산구 독서당로6길 12-13,37.5297431,127.0099591
260,경의중앙,홍대입구,서울특별시 마포구 양화로 지하188,37.5534256,126.9186096
262,경의중앙,회기,서울특별시 동대문구 회기로 196,37.5907958,127.0593134
263,경의중앙,효창공원앞,서울특별시 용산구 원효로 71길 40,37.53797429999999,126.9633064
