,호선,역명,주소,위도,경도
0,2호선,봉천,서울특별시 관악구 남부순환로 1721,37.4823889,126.9419387
1,1호선,서울,서울특별시 중구 세종대로 2,37.5560719,126.9723599
2,1호선,시청,서울특별시 중구 세종대로 101,37.5654798,126.977114
3,1호선,종각,서울특별시 종로구 종로 55,37.5701745,126.9831831
4,1호선,종로3가,서울특별시 종로구 종로 129,37.5704405,126.9923242
5,1호선,종로5가,서울특별시 종로구 종로 216,37.5709867,127.0020222
6,1호선,동대문,서울특별시 종로구 종로 302,37.5718616,127.0114887
7,1호선,신설동,서울특별시 동대문구 왕산로 1,37.5745192,127.0254473
8,1호선,제기동,서울특별시 동대문구 왕산로 93,37.5783784,127.0344672
9,1호선,청량리,서울특별시 동대문구 왕산로 205,37.5809109,127.0455658
10,1호선,동묘앞,서울특별시 종로구 종로 359,37.5735084,127.0174344
11,2호선,시청,서울특별시 중구 서소문로 127,37.5615397,126.9681288
12,2호선,을지로입구,서울특별시 중구 을지로 42,37.5659494,126.9826171
13,2호선,을지로3가,서울특별시 중구 을지로 106,37.5663363,126.9925305
14,2호선,을지로4가,서울특별시 중구 을지로 178,37.5666425,126.9981685
15,2호선,동대문역사문화공원,서울특별시 중구 을지로 279,37.5659047,127.0081762
16,2호선,신당,서울특별시 중구 퇴계로 431-1,37.5653839,127.016252
17,2호선,상왕십리,서울특별시 성동구 왕십리로 374,37.564391,127.0292513
18,2호선,왕십리,서울특별시 성동구 왕십리로 300,37.5612735,127.0353846
19,2호선,한양대,서울특별시 성동구 왕십리로 206,37.5557271,127.0436642
20,2호선,뚝섬,서울특별시 성동구 아차산로 18,37.54723545,127.04739787885683
21,2호선,성수,서울특별시 성동구 아차산로 100,37.5445688,127.0561016
22,2호선,건대입구,서울특별시 광진구 아차산로 243,37.5403626,127.069384
23,2호선,구의,서울특별시 광진구 아차산로 384-1,37.5407603,127.0679553
24,2호선,강변,서울특별시 광진구 강변역로 53,37.5351109,127.0947415
25,2호선,잠실나루,서울특별시 송파구 오금로 20,37.520691,127.1038301
26,2호선,잠실,서울특별시 송파구 올림픽로 265,37.5132169,127.1001365
27,2호선,잠실새내,서울특별시 송파구 올림픽로 140,37.5115881,127.085571
28,2호선,종합운동장,서울특별시 송파구 올림픽로 23,37.5107105,127.0709259
29,2호선,삼성,서울특별시 강남구 테헤란로 538,37.5088402,127.063143
30,2호선,선릉,서울특별시 강남구 테헤란로 340,37.5044746,127.0489508
31,2호선,역삼,서울특별시 강남구 테헤란로 156,37.5008221,127.03696
32,2호선,강남,서울특별시 강남구 강남대로 396,37.5216514,127.0179623
33,2호선,교대,서울특별시 서초구 서초대로 294,37.4936592,127.0137025
34,2호선,서초,서울특별시 서초구 서초대로 233,37.4917747,127.007681
35,2호선,방배,서울특별시 서초구 방배로 80,37.4814662,126.9977072
36,2호선,사당,서울특별시 동작구 남부순환로 2089,37.4765828,126.9816682
37,2호선,낙성대,서울특별시 관악구 남부순환로 1928,37.4770623,126.9634876
38,2호선,서울대입구,서울특별시 관악구 남부순환로 1822,37.481223,126.9527151
39,2호선,신림,서울특별시 관악구 남부순환로 1614,37.4846585,126.9296105
40,2호선,신대방,서울특별시 동작구 대림로 2,37.4875949,126.9133919
41,2호선,구로디지털단지,서울특별시 구로구 도림천로 477,37.48539755,126.90115736330443
42,2호선,대림,서울특별시 구로구 도림천로 351,37.5013551,126.8926331
43,2호선,신도림,서울특별시 구로구 새말로  117-21,37.5019165,126.882605
44,2호선,문래,서울특별시 영등포구 당산로 28,37.5183839,126.8948726
45,2호선,영등포구청,서울특별시 영등포구 당산로 121,37.5253085,126.8965943
46,2호선,당산,서울특별시 영등포구 당산로 229,37.5345964,126.902478
47,2호선,합정,서울특별시 마포구 양화로 55,37.5493558,126.9136561
48,2호선,홍대입구,서울특별시 마포구 양화로 160,37.5582622,126.9256952
49,2호선,신촌,서울특별시 마포구 신촌로 90,37.5551517,126.9369084
50,2호선,이대,서울특별시 마포구 신촌로 180,37.556027,126.9400532
51,2호선,아현,서울특별시 마포구 신촌로 270,37.556027,126.9400532
52,2호선,충정로,서울특별시 서대문구 서소문로 17,37.5593594,126.9636659
53,2호선,용답,서울특별시 성동구 용답길 86,37.56209,127.0508609
54,2호선,신답,서울특별시 성동구 천호대로 232,37.5699227,127.0470196
55,2호선,신설동,서울특별시 동대문구 왕산로  1,37.5745192,127.0254473
56,2호선,도림천,서울특별시 구로구 경인로67길 160,37.5144539,126.882684
57,2호선,양천구청,서울특별시 양천구 목동로3길 33,37.512295,126.865945
58,2호선,신정네거리,서울특별시 양천구 중앙로 261,37.5199571,126.853002
59,2호선,용두,서울특별시 동대문구 천호대로 129,37.5740737,127.0380657
61,3호선,구파발,서울특별시 은평구 진관2로 15-25 ,37.6341589,126.9269667
62,3호선,연신내,서울특별시 은평구 통일로 849,37.6410264,126.9159825
63,3호선,불광,서울특별시 은평구 통일로 723-1,37.6324083,126.9180286
64,3호선,녹번,서울특별시 은평구 통일로 602-1,37.6324083,126.9180286
65,3호선,홍제,서울특별시 서대문구 통일로 440-1,37.58578,126.9474
66,3호선,무악재,서울특별시 서대문구 통일로 361,37.57527,126.95692
67,3호선,독립문,서울특별시 서대문구 통일로 247,37.5745584,126.9578361
68,3호선,경복궁,서울특별시 종로구 사직로 130,37.5757924,126.973629
69,3호선,안국,서울특별시 종로구 율곡로 62,37.5768279,126.9861709
70,3호선,종로3가,서울특별시 종로구 돈화문로 30,37.5704372,126.9922206
71,3호선,을지로3가,서울특별시 중구 을지로 129,37.5660131,126.980623
72,3호선,충무로,서울특별시 중구 퇴계로 214,37.5596957,126.9809292
73,3호선,동대입구,서울특별시 중구 동호로 256,37.5629876,127.0026029
74,3호선,약수,서울특별시 중구 다산로 122,37.5507793,127.0076435
75,3호선,금호,서울특별시 성동구 동호로 104,37.547149,127.0144664322695
76,3호선,옥수,서울특별시 성동구 동호로 21,37.5469996,127.0162538
77,3호선,압구정,서울특별시 강남구 압구정로 172,37.5219841,127.0183177
78,3호선,신사,서울특별시 강남구 도산대로 102,37.5181047,127.0240811
79,3호선,잠원,서울특별시 서초구 잠원로4길 46,37.5134199,127.0125217
80,3호선,고속터미널,서울특별시 서초구 신반포로 188,37.5001425,126.985354
81,3호선,교대,서울특별시 서초구 서초대로 294,37.4936592,127.0137025
82,3호선,남부터미널,서울특별시 서초구 서초중앙로 31,37.5042348,127.0106154
83,3호선,양재,서울특별시 서초구 남부순환로 2585,37.4738296,126.9935686
84,3호선,매봉,서울특별시 강남구 남부순환로 2744,37.4979579,127.0846934
85,3호선,도곡,서울특별시 강남구 남부순환로 2814,37.4979579,127.0846934
86,3호선,대치,서울특별시 강남구 남부순환로 2952,37.4979579,127.0846934
87,3호선,학여울,서울특별시 강남구 남부순환로 3104,37.4979579,127.0846934
88,3호선,대청,서울특별시 강남구 일원로 2,37.49121,127.08067
89,3호선,일원,서울특별시 강남구 일원로 121,37.49121,127.08067
90,3호선,수서,서울특별시 강남구 광평로 270,37.4834878,127.0852764
91,3호선,가락시장,서울특별시 송파구 송파대로 257,37.5043088,127.1082154
92,3호선,경찰병원,서울특별시 송파구 중대로 149,37.49833,127.12569
93,3호선,오금,서울특별시 송파구 오금로 321,37.5052279,127.1229241
94,4호선,당고개,서울특별시 노원구 상계로 305,37.6703649,127.0793755
95,4호선,상계,서울특별시 노원구 상계로 182,37.6703649,127.0793755
96,4호선,노원,서울특별시 노원구 상계로 69-1,37.6575534,127.0671996
97,4호선,창동,서울특별시 도봉구 마들로11길 77,37.6538032,127.0506357
98,4호선,쌍문,서울특별시 도봉구 도봉로  486-1,37.6620125,127.042384
99,4호선,수유,서울특별시 강북구 도봉로 338,37.6128166,127.0302125
100,4호선,미아,서울특별시 강북구 도봉로 198,37.6128166,127.0302125
101,4호선,미아사거리 ,서울특별시 강북구 도봉로 50,37.6128166,127.0302125
102,4호선,길음,서울특별시 성북구 동소문로 248,37.6035281,127.0247172
103,4호선,성신여대입구,서울특별시 성북구 동소문로 102,37.602941599999994,127.02360638811476
104,4호선,한성대입구,서울특별시 성북구 삼선교로 1,37.5876542,127.0082744
105,4호선,혜화,서울특별시 종로구 대학로 120,37.5821381,127.0019525
106,4호선,동대문,서울특별시 종로구 율곡로 308,37.575363,126.981921
107,4호선,동대문역사문화공원,서울특별시 중구 장충단로 230,37.5601768,127.005621
108,4호선,충무로,서울특별시 중구 퇴계로 214,37.5596957,126.9809292
109,4호선,명동,서울특별시 중구 퇴계로 126,37.5596957,126.9809292
110,4호선,회현,서울특별시 중구 퇴계로 54,37.5596957,126.9809292
111,4호선,서울,서울특별시 용산구 한강대로 392,37.5528527,126.9725721
112,4호선,숙대입구,서울특별시 용산구 한강대로 306,37.5447751,126.9719446
113,4호선,삼각지,서울특별시 용산구 한강대로 180,37.5447751,126.9719446
114,4호선,신용산,서울특별시 용산구 한강대로 112,37.5447751,126.9719446
115,4호선,이촌,서울특별시 용산구 서빙고로 83,37.520219,126.9905063
116,4호선,동작,서울특별시 동작구 현충로 257,37.501834,126.980624
117,4호선,총신대입구,서울특별시 동작구 동작대로 117,37.4820175,126.9819251
118,4호선,사당,서울특별시 동작구  동작대로 3,37.4820175,126.9819251
119,4호선,남태령,서울특별시 서초구 과천대로 816,37.4626813,126.9880724
120,5호선,방화,서울특별시 강서구 금낭화로 132,37.5761896,126.8122948
121,5호선,개화산,서울특별시 강서구 양천로 22,37.5733429,126.8165938
122,5호선,김포공항,서울특별시 강서구 하늘길 77,37.563589300000004,126.80384708313696
123,5호선,송정,서울특별시 강서구 공항대로 33,37.5612563,126.8124407
124,5호선,마곡,서울특별시 강서구 공항대로 163,37.5602492,126.8247463
125,5호선,발산,서울특별시 강서구 공항대로 267,37.5612563,126.8124407
126,5호선,우장산,서울특별시 강서구 강서로 262,37.5596089,126.838587
127,5호선,화곡,서울특별시 강서구 화곡로 168,37.55856,126.85378
128,5호선,까치산,서울특별시 강서구 강서로 54,37.5321119,126.8465265
129,5호선,신정,서울특별시 양천구 오목로 179,37.5221749,126.8446016
130,5호선,목동,서울특별시 양천구 오목로 245,37.5221749,126.8446016
131,5호선,오목교,서울특별시 양천구 오목로 342,37.5221749,126.8446016
