,노선명,역명,평균이용승객수
0,2호선,강남,146590.87121212122
1,2호선,구로디지털단지,105949.94191919192
2,2호선,삼성(무역센터),99355.20454545454
3,2호선,역삼,94188.84343434343
4,8호선,잠실(송파구청),89345.99494949495
5,2호선,서울대입구(관악구청),88033.32070707071
6,1호선,영등포,82478.30555555556
7,2호선,을지로입구,81142.42676767676
8,1호선,용산,80074.35858585859
9,2호선,성수,73016.33838383839
10,3호선,양재(서초구청),70112.56818181818
11,4호선,혜화,68878.20202020202
12,1호선,종각,67510.05555555556
13,4호선,수유(강북구청),64542.992424242424
14,4호선,사당,63279.867424242424
15,1호선,부천,63085.72727272727
16,3호선,압구정,62139.23484848485
17,2호선,강변(동서울터미널),60922.26262626263
18,2호선,선릉,60591.375
19,5호선,광화문(세종문화회관),59903.27777777778
20,1호선,부평,59625.63888888889
21,9호선,신논현,57726.65151515151
22,2호선,신림,57696.481045751636
23,3호선,남부터미널(예술의전당),56007.583333333336
24,3호선,신사,55424.25252525252
25,경의중앙선,홍대입구,53548.32154882155
26,7호선,가산디지털단지,53450.01136363636
27,5호선,까치산,52668.43939393939
28,1호선,역곡,52323.767676767675
29,4호선,쌍문,52259.53535353536
30,9호선,고속터미널,52252.19528619529
31,1호선,금정,52240.707070707074
32,5호선,화곡,51602.871212121216
33,2호선,낙성대(강감찬),51538.14646464647
34,4호선,명동,50988.65151515151
35,9호선,여의도,50950.746212121216
36,4호선,미아사거리,50659.09848484849
37,경의중앙선,회기,50514.906565656565
38,4호선,범계,50460.95202020202
39,1호선,송내,50344.457070707074
40,1호선,신도림,50317.97474747475
41,수인분당선,야탑,50103.28787878788
42,7호선,건대입구,49877.48737373737
43,3호선,안국,48367.29797979798
44,4호선,회현(남대문시장),48245.270202020205
45,2호선,신대방,47684.77272727273
46,3호선,경복궁(정부서울청사),47684.32575757576
47,수인분당선,서현,47394.37373737374
48,1호선,수원,46879.96590909091
49,4호선,인덕원,46577.507575757576
