,선명,역명,주소,위도,경도
0,1호선,동대문,서울특별시 종로구 종로 지하302(창신동),37.5728396,127.0144679
1,1호선,동묘앞,서울특별시 종로구 종로 359(숭인동),37.5775993,127.0223262
2,1호선,서울역,서울특별시 중구 세종대로 지하2(남대문로 5가),37.5587351,126.9738593
3,1호선,시청,서울특별시 중구 세종대로 지하101(정동),37.5666082,126.9731481
4,1호선,신설동,서울특별시 동대문구 왕산로 지하1(신설동),37.578486,127.0270996
5,1호선,제기동,서울특별시 동대문구 왕산로 지하93(제기동),37.5837593,127.0372351
6,1호선,종각,서울특별시 종로구 종로 지하55(종로1가),37.5700105,126.9821081
7,1호선,종로3가,서울특별시 종로구 종로 지하129(종로3가),37.5704474,126.990896
8,1호선,종로5가,서울특별시 종로구 종로 지하216(종로5가),37.571031,127.0019512
9,1호선,청량리(서울시립대입구),서울특별시 동대문구 왕산로 지하205(전농동),37.5797474,127.0557043
10,2호선,강남,서울특별시 강남구 강남대로 지하396(역삼동),37.5000776,127.0385419
11,2호선,강변(동서울터미널),서울특별시 광진구 강변역로 53(구의동),37.5353816,127.0945451
12,2호선,건대입구,서울특별시 광진구 아차산로 243(화양동),37.54081559999999,127.0690315
13,2호선,교대(법원·검찰청),서울특별시 서초구 서초대로 지하294(서초동),37.4910405,127.004581
14,2호선,구로디지털단지,서울특별시 구로구 도림천로 477(구로동),37.485363,126.9010775
15,2호선,구의(광진구청),서울특별시 광진구 아차산로 384-1(구의동),37.5444007,127.092844
16,2호선,까치산,서울특별시 강서구 강서로 지하54 ,37.5512896,126.8417531
17,2호선,낙성대,서울특별시 관악구 남부순환로 지하1928(봉천동),37.4799015,126.9404631
18,2호선,당산,서울특별시 영등포구 당산로 229(당산동6가),37.5346602,126.9028802
19,2호선,대림(구로구청),서울특별시 구로구 도림천로 351(구로동),37.4934315,126.8947998
20,2호선,도림천,서울특별시 구로구 경인로67길 160(신도림동),37.5142835,126.8829718
21,2호선,동대문역사문화공원,서울특별시 중구 을지로 지하279(을지로7가),37.5662916,127.0096225
22,2호선,뚝섬,서울특별시 성동구 아차산로 18(성수동1가),37.5463387,127.0535209
23,2호선,문래,서울특별시 영등포구 당산로 지하28(문래동3가),37.518811,126.8996216
24,2호선,방배,서울특별시 서초구 방배로 지하80(방배동),37.4870964,126.9958157
25,2호선,봉천,서울특별시 관악구 남부순환로 지하1721(봉천동),37.487812,126.957234
26,2호선,사당,서울특별시 동작구 남부순환로 지하2089(사당동),37.485622,126.9723172
27,2호선,삼성(무역센터),서울특별시 강남구 테헤란로 지하538(삼성동),37.508861,127.063149
28,2호선,상왕십리,서울특별시 성동구 왕십리로 지하374(하왕십리동),37.56398739999999,127.0280247
29,2호선,서울대입구(관악구청),서울특별시 관악구 남부순환로 지하1822(봉천동),37.4799015,126.9404631
30,2호선,서초,서울특별시 서초구 서초대로 지하233(서초동),37.4910405,127.004581
31,2호선,선릉,서울특별시 강남구 테헤란로 지하340(삼성동),37.508861,127.063149
32,2호선,성수,서울특별시 성동구 아차산로 100(성수동2가),37.5446813,127.0569827
33,2호선,시청,서울특별시 중구 서소문로 지하127(서소문동),37.561398,126.9740126
