,역명,주소,위도,경도
1,개봉,서울특별시 구로구 경인로40길 47,37.4949138,126.859724
2,광운대,서울특별시 노원구 석계로 98-2,37.6234098,127.0622569
3,구로,서울특별시 구로구 구로중앙로 174,37.5025798,126.8821545
4,구일,서울특별시 구로구 구일로 133,37.4972421,126.8719888
5,금천구청,서울특별시 금천구 시흥대로63길 91  ,37.4569435,126.8941786
6,남영,서울특별시 용산구 한강대로77길 25  ,37.5416244,126.9712367
8,녹천,서울특별시 도봉구 덕릉로 376,37.6456347,127.0509423
9,대방,서울특별시 영등포구 여의대방로 300,37.51331,126.9257017
10,도봉,서울특별시 도봉구 도봉로 170길 2,37.6752038,127.0448981
12,독산,서울특별시 금천구 벚꽃로115,37.4665133,126.8892552
13,방학,서울특별시 도봉구 방학동 728,37.6655976,127.0444445
17,신이문,서울특별시 동대문구 한천로 472,37.6051923,127.0691225
18,영등포,서울특별시 영등포구 경인로 846,37.5159228,126.9073727
19,오류동,서울특별시 구로구 경인로 20길 13,37.4952645,126.8449766
21,외대앞,서울특별시 동대문구 휘경로 27  ,37.5997138,127.0661704
22,용산,서울특별시 용산구 한강대로23길 55,37.529557,126.9641567
23,월계,서울특별시 노원구 월계로 53길 40,37.6350712,127.0589572
25,회기,서울특별시 동대문구 회기로 196,37.5907958,127.0593134
31,제기동,서울특별시 동대문구 왕산로 지하93(제기동),37.5837593,127.0372351
32,종각,서울특별시 종로구 종로 지하55(종로1가),37.5700105,126.9821081
34,종로5가,서울특별시 종로구 종로 지하216(종로5가),37.571031,127.0019512
35,청량리,서울특별시 동대문구 왕산로 지하205(전농동),37.5797474,127.0557043
36,강남,서울특별시 강남구 강남대로 지하396(역삼동),37.5000776,127.0385419
37,강변,서울특별시 광진구 강변역로 53(구의동),37.5353816,127.0945451
40,구로디지털단지,서울특별시 구로구 도림천로 477(구로동),37.485363,126.9010775
41,구의,서울특별시 광진구 아차산로 384-1(구의동),37.5444007,127.092844
43,낙성대,서울특별시 관악구 남부순환로 지하1928(봉천동),37.4799015,126.9404631
46,도림천,서울특별시 구로구 경인로67길 160(신도림동),37.5142835,126.8829718
48,뚝섬,서울특별시 성동구 아차산로 18(성수동1가),37.5463387,127.0535209
49,문래,서울특별시 영등포구 당산로 지하28(문래동3가),37.518811,126.8996216
50,방배,서울특별시 서초구 방배로 지하80(방배동),37.4870964,126.9958157
51,봉천,서울특별시 관악구 남부순환로 지하1721(봉천동),37.487812,126.957234
53,삼성,서울특별시 강남구 테헤란로 지하538(삼성동),37.508861,127.063149
54,상왕십리,서울특별시 성동구 왕십리로 지하374(하왕십리동),37.56398739999999,127.0280247
55,서울대입구,서울특별시 관악구 남부순환로 지하1822(봉천동),37.4799015,126.9404631
56,서초,서울특별시 서초구 서초대로 지하233(서초동),37.4910405,127.004581
57,선릉,서울특별시 강남구 테헤란로 지하340(삼성동),37.508861,127.063149
58,성수,서울특별시 성동구 아차산로 100(성수동2가),37.5446813,127.0569827
60,신답,서울특별시 성동구 천호대로 232(용답동),37.5706952,127.0454382
62,신대방,서울특별시 동작구 대림로 2(신대방동),37.487549,126.9129603
64,신림,서울특별시 관악구 남부순환로 지하1614(신림동),37.4867897,126.9276112
66,신정네거리,서울특별시 양천구 중앙로 지하261(신정동),37.5195255,126.8528661
67,신촌,서울특별시 마포구 신촌로 지하90(노고산동),37.5543865,126.9377806
68,아현,서울특별시 마포구 신촌로 지하270(아현동),37.5543934,126.9568563
69,양천구청,서울특별시 양천구 목동로3길 지하33(신정동),37.5113363,126.8630691
70,역삼,서울특별시 강남구 테헤란로 지하156(역삼동),37.500326,127.036087
73,용답,서울특별시 성동구 용답길 86(용답동),37.5669045,127.0496653
74,용두,서울특별시 동대문구 천호대로 지하129(용두동),37.5723955,127.0340943
77,을지로입구,서울특별시 중구 을지로 지하42(을지로1가),37.5666911,126.9802528
78,이대,서울특별시 마포구 신촌로 지하180(염리동),37.5469511,126.9438905
80,잠실나루,서울특별시 송파구 오금로 20(신천동),37.5189313,127.104757
81,잠실새내,서울특별시 송파구 올림픽로 지하140(잠실동),37.5045774,127.0727245
84,한양대,서울특별시 성동구 왕십리로 206(행당동),37.5608641,127.0367939
86,홍대입구,서울특별시 마포구 양화로 지하160(동교동),37.5563194,126.9224078
88,경복궁,서울특별시 종로구 사직로 지하130(적선동),37.574115,126.9743671
89,경찰병원,서울특별시 송파구 중대로 지하149(가락동),37.4919273,127.1159269
92,구파발,서울특별시 은평구 진관2로 지하15-25 (진관동),37.6358242,126.9241625
93,금호,서울특별시 성동구 동호로 지하104(금호동4가),37.5474644,127.0256553
94,남부터미널,서울특별시 서초구 서초중앙로 지하31(서초동),37.48114040000001,127.025186
95,녹번,서울특별시 은평구 통일로 지하602-1(녹번동),37.6046138,126.9323836
96,대청,서울특별시 강남구 일원로 지하2(일원동),37.4881652,127.0828815
97,대치,서울특별시 강남구 남부순환로 지하2952(대치동),37.493668,127.0619
98,도곡,서울특별시 강남구 남부순환로 지하2814(도곡동),37.48859059999999,127.0452757
99,독립문,서울특별시 서대문구 통일로 지하247(현저동),37.57142109999999,126.9560102
100,동대입구,서울특별시 중구 동호로 지하256(장충동2가),37.5605514,127.0057072
101,매봉,서울특별시 강남구 남부순환로 지하2744(도곡동),37.48859059999999,127.0452757
102,무악재,서울특별시 서대문구 통일로 지하361(홍제동),37.5827071,126.9373416
104,수서,서울특별시 강남구 광평로 지하270(수서동),37.4874685,127.1013245
105,신사,서울특별시 강남구 도산대로 지하102(신사동),37.52106819999999,127.03414
106,안국,서울특별시 종로구 율곡로 지하62(안국동),37.5772954,126.9840979
107,압구정,서울특별시 강남구 압구정로 지하172(신사동),37.5263577,127.0335584
109,양재,서울특별시 서초구 남부순환로 지하2585(서초동),37.4785654,127.0078252
112,옥수,서울특별시 성동구 동호로 21(옥수동),37.5400509,127.0177866
114,일원,서울특별시 강남구 일원로 지하121(일원동),37.4881652,127.0828815
115,잠원,서울특별시 서초구 잠원로4길 지하46(잠원동),37.5126755,127.0107095
118,학여울,서울특별시 강남구 남부순환로 지하3104(대치동),37.493668,127.0619
119,홍제,서울특별시 서대문구 통일로 지하440-1(홍제동),37.5928868,126.9489057
120,길음,서울특별시 성북구 동소문로 지하248(길음동),37.6085948,127.0220461
121,남태령,서울특별시 서초구 과천대로 지하816(방배동),37.490797,126.9897777
123,당고개,서울특별시 노원구 상계로 305(상계동),37.670607,127.0793321
127,명동,서울특별시 중구 퇴계로 지하126(충무로2가),37.5617173,126.987815
128,미아,서울특별시 강북구 도봉로 지하198(미아동),37.6290856,127.0277879
129,미아사거리,서울특별시 강북구 도봉로 지하50(미아동),37.6290856,127.0277879
132,상계,서울특별시 노원구 상계로 182(상계동),37.6610573,127.0736304
134,성신여대입구,서울특별시 성북구 동소문로 지하102(동선동4가),37.5935975,127.01756
135,수유,서울특별시 강북구 도봉로 지하338(수유동),37.6290856,127.0277879
136,숙대입구,서울특별시 용산구 한강대로 지하306(갈월동),37.5454036,126.9723606
137,신용산,서울특별시 용산구 한강대로 지하112(한강로2가),37.5306984,126.9707163
138,쌍문,서울특별시 도봉구 도봉로 지하 486-1(창동),37.6675936,127.0403191
139,이촌,서울특별시 용산구 서빙고로 지하83(용산동5가),37.5261469,126.9745744
143,한성대입구,서울특별시 성북구 삼선교로 지하1(삼선동1가),37.5885903,127.0103548
144,혜화,서울특별시 종로구 대학로 지하120(명륜4가),37.5816314,127.0008865
