,이름,별점,주소
0,가산D.C역 개방화장실,,서울 금천구 가산동                34-83                
1,청량리 개방화장실,,서울 동대문구                약령시로 154                 (우)02490
2,동대문세무서 개방화장실,,서울 동대문구                약령시로 159                 (우)02489
3,청량리역 개방화장실,,서울 동대문구                왕산로 지하 205                 (우)02559
4,청량리역 개방화장실,,서울 동대문구                왕산로 214                 (우)02555
5,광장시장 만남의쉼터 개방화장실,,서울 종로구                창경궁로12길 36                 (우)03195
6,종로5가역 개방화장실,,서울 종로구                종로 지하 200                 (우)03195
7,신진시장 만남의 장소 개방화장실,,서울 종로구                종로38길 16                 (우)03197
8,서울종로5가우체국 1층 개방화장실,,서울 종로구                종로 207-1                 (우)03129
9,종로5가 지하상가 개방화장실,,서울 종로구 종로5가                82-1                
10,종로5가파출소 1층 개방화장실,,서울 종로구                동호로 407                 (우)03195
11,광장골목시장수도직물 3층 개방화장실,,서울 종로구                청계천로 195-7                 (우)03195
12,방산시장-A 개방화장실,,서울 중구                동호로37길 20                 (우)04546
13,종로5가 무인자동 개방화장실,,서울 종로구                동호로 401                 (우)03195
14,방산시장-B 개방화장실,,서울 중구                동호로37길 20                 (우)04546
15,"광장시장 합동,화창빌딩 개방화장실",,서울 종로구                종로 194-7                 (우)03195
16,청계5가 지하상가 개방화장실,,서울 중구                동호로 지하 384                 (우)04562
17,광장시장 3층동관부 개방화장실,,서울 종로구                창경궁로 88                 (우)03195
18,광장시장 1층청과부 개방화장실,,서울 종로구                창경궁로 88                 (우)03195
19,"서울시중부교육청 1,2,3층 개방화장실",,서울 종로구                대학로 10                 (우)03126
20,광장골목시장평아직물 2층 개방화장실,,서울 종로구                청계천로 205                 (우)03195
21,종각역 개방화장실,,서울 종로구 종로2가                6                
22,다동소공원 1층 개방화장실,,서울 중구                다동길 21                 (우)04521
23,태평로파출소 개방화장실,,서울 중구                다동길 11                 (우)04521
24,영풍빌딩 개방화장실,,서울 종로구                청계천로 41                 (우)03188
25,한외빌딩 개방화장실,,서울 중구                다동길 43                 (우)04521
26,서울글로벌센터 개방화장실,,서울 종로구                종로 38                 (우)03188
27,한국관광공사 서울센터점 개방화장실,,서울 중구                청계천로 40                 (우)04521
28,제기동 주민센터 개방화장실,,서울 동대문구                약령시로 71                 (우)02478
29,이케이에너지 강산주유소 개방화장실,,서울 성북구                보문로 27                 (우)02873
30,신설역 개방화장실,,서울 동대문구                왕산로 9                 (우)02580
31,경영빌딩 개방화장실,,서울 동대문구                왕산로 6                 (우)02582
32,동서울충전소 개방화장실,,서울 동대문구                망우로 57                 (우)02439
33,회기역 1호선 개방화장실,,서울 동대문구                회기로 196                 (우)02446
34,월드프라자 개방화장실,,서울 도봉구                마들로11가길 13                 (우)01414
35,이마트 개방화장실,,서울 도봉구                노해로65길 4                 (우)01405
36,킹프라자 개방화장실,,서울 도봉구                마들로11가길 16                 (우)01414
37,창동역 개방화장실,4.5,서울 도봉구                마들로11길 77                 (우)01413
38,점보타운 개방화장실,,서울 도봉구                노해로69길 15-15                 (우)01414
39,다모아빌딩 개방화장실,,서울 도봉구                마들로11가길 12                 (우)01414
40,우림빌딩 개방화장실,,서울 도봉구                노해로63길 79                 (우)01399
41,하나빌딩 개방화장실,,서울 도봉구                노해로67길 10                 (우)01414
42,노원경찰서 월계지구대 개방화장실,,서울 노원구                월계로55길 58                 (우)01864
43,용산역 개방화장실,,서울 용산구                한강대로23길 55                 (우)04377
44,신이문역 4번출구 개방화장실,,서울 동대문구                신이문로12길 73                 (우)02410
45,이문고가 개방화장실,,서울 동대문구 이문동                184-85                
46,이문2제방 개방화장실,4.7,서울 동대문구 이문2동                98-1                
47,오류동역 개방화장실,,서울 구로구                경인로20길 13                 (우)08272
48,영등포역 지하상가 개방화장실,,서울 영등포구                경인로 지하 843                 (우)07305
49,영등포로타리 지하상가 개방화장실,,서울 영등포구                영중로 지하 20                 (우)07302
50,영등포역 개방화장실,,서울 영등포구                경인로 846                 (우)07306
51,삼보빌딩 개방화장실,,서울 영등포구                경인로 870                 (우)07306
52,SK남부주유소 개방화장실,,서울 영등포구                경인로 822                 (우)07306
53,영등포본동주민센터 개방화장실,,서울 영등포구                신길로61길 17                 (우)07307
54,광야교회 뒤 개방화장실,,서울 영등포구                영신로17길 13                 (우)07366
55,영등포역 지하 개방화장실,,서울 영등포구                경인로 846                 (우)07306
56,영등포본동제1공영 개방화장실,,서울 영등포구                영신로10길 15                 (우)07307
57,신이문역 개방화장실,,서울 동대문구                한천로 472                 (우)02421
58,이문1제방 개방화장실,,서울 동대문구                한천로58길 209                 (우)02421
59,신도림역 개방화장실,,서울 구로구                새말로 지하 117-21                 (우)08288
60,신도림역 1호선 개방화장실,,서울 구로구                경인로 688                 (우)08209
61,청파공원 개방화장실,,서울 용산구 서계동                226-3                
62,새꿈공원 개방화장실,,서울 용산구 동자동                8-5                
63,서울역 개방화장실,,서울 용산구 동자동                14-200                
64,서울역 개방화장실,,서울 용산구                한강대로 405                 (우)04509
65,개봉역 개방화장실,,서울 구로구 개봉동                415                
66,광운대역 개방화장실,,서울 노원구                석계로 98-2                 (우)01886
67,노원경찰서 월계치안센터 개방화장실,,서울 노원구                석계로 93                 (우)01893
68,금천구청 3호 개방화장실,,서울 금천구                시흥대로63길 91                 (우)08612
69,금천구청역 자전거보관소 4호 개방화장실,,서울 금천구                시흥대로73길 70                 (우)08611
70,금나래도서관 개방화장실,,서울 금천구                시흥대로73길 70                 (우)08611
71,금나래아트홀 개방화장실,,서울 금천구                시흥대로73길 70                 (우)08611
72,금천구청 1층 개방화장실,,서울 금천구                시흥대로73길 70                 (우)08611
73,돌모루공원 개방화장실,,서울 용산구                원효로97길 50                 (우)04313
74,남영역 개방화장실,,서울 용산구                한강대로77길 25                 (우)04322
75,롯데리아 숙대점 개방화장실,,서울 용산구                한강대로81길 4                 (우)04321
76,구일역 개방화장실,,서울 구로구                구일로 133                 (우)08323
77,대창어린이공원 개방화장실,,서울 도봉구 창동                38-4                
78,월천근린공원 개방화장실,,서울 도봉구 창동                28                
79,녹천역 1호선 개방화장실,,서울 도봉구 창동                57-11                
80,초안산근린공원 개방화장실,,서울 도봉구 창동                428                
81,구로역 개방화장실,,서울 구로구                구로중앙로 174                 (우)08213
82,한일빌딩 개방화장실,,서울 도봉구                도봉로152가길 102                 (우)01327
83,송만에너지 도봉제일주유소 개방화장실,,서울 도봉구                도봉로 783                 (우)01308
84,도봉산역 개방화장실,,서울 도봉구                도봉로 964-40                 (우)01318
85,도봉산역광역환승센터주차장 개방화장실,,서울 도봉구                도봉로 955                 (우)01301
86,서울창포원 개방화장실,,서울 도봉구                마들로 916                 (우)01318
87,도봉산역 1호선 개방화장실,,서울 도봉구                도봉로 948                 (우)01318
88,현대오일뱅크직영 도봉현대셀프주유소 개방화장실,,서울 도봉구                도봉로 941                 (우)01301
89,금천교 5호 개방화장실,,서울 금천구                범안로 1126                 (우)08595
90,고려테크온 개방화장실,,서울 금천구                범안로 1138                 (우)08595
91,구도일주유소 개방화장실,,서울 도봉구                도봉로 706                 (우)01333
92,홈플러스 개방화장실,,서울 도봉구                도봉로 678                 (우)01334
93,방학역 개방화장실,,서울 도봉구 방학동                728                
94,디케이비엠시대경주유소 개방화장실,,서울 도봉구                도봉로 696                 (우)01333
95,CJ푸드빌빕스대방점 개방화장실,,서울 동작구                노량진로 2                 (우)06938
96,대방역 개방화장실,5.0,서울 영등포구                여의대방로 300                 (우)07319
97,대방역앞 개방화장실,,서울 영등포구 신길동                4203                
98,보라주유소 개방화장실,,서울 영등포구                영등포로 399                 (우)07318
99,서울시청 신청사 개방화장실,5.0,서울 중구                세종대로 110                 (우)04524
100,서울시청 서소문별관 개방화장실,5.0,서울 중구                덕수궁길 15                 (우)04515
101,시청역 개방화장실,,서울 중구                서소문로 지하 127                 (우)04515
102,서소문파출소 개방화장실,,서울 중구                서소문로 131-1                 (우)04515
103,시청역 개방화장실,,서울 중구                세종대로 110                 (우)04524
104,한화빌딩 개방화장실,,서울 중구                소공로 109                 (우)04525
105,서울특별시의회 개방화장실,,서울 중구                세종대로 125                 (우)04519
106,시청광장 지하 개방화장실,,서울 중구                을지로 지하 12                 (우)04533
